date,name,type,date
2016-03-24,Maundy Thursday,Regular Holiday,2016-03-24
2016-03-25,Good Friday,Regular Holiday,2016-03-25
2016-03-26,Black Saturday,Special Non-working Holiday,2016-03-26
2016-03-27,Easter Sunday,Observance,2016-03-27
2016-04-09,The Day of Valor,Regular Holiday,2016-04-09
2016-05-01,Labor Day,Regular Holiday,2016-05-01
2016-05-05,Lailatul Isra Wal Mi Raj,Common local holiday,2016-05-05
2016-05-09,National Elections,Special Non-working Holiday,2016-05-09
2016-06-12,Independence Day,Regular Holiday,2016-06-12
2016-06-21,June Solstice,Season,2016-06-21
2016-07-07,Eidul-Fitar,Regular Holiday,2016-07-07
2016-08-21,Ninoy Aquino Day,Special Non-working Holiday,2016-08-21
2016-08-29,National Heroes Day,Regular Holiday,2016-08-29
2016-09-10,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,2016-09-10
2016-09-11,Eid al-Adha Day 2,Common local holiday,2016-09-11
2016-09-12,Eid al-Adha Day 3,National holiday,2016-09-12
2016-09-22,September Equinox,Season,2016-09-22
2016-10-03,Amun Jadid,"Muslim, Common local holiday",2016-10-03
2016-10-31,Special non-working Day,National holiday,2016-10-31
2016-11-01,All Saints' Day,Special Non-working Holiday,2016-11-01
2016-11-02,All Souls' Day,Observance,2016-11-02
2016-11-30,Bonifacio Day,Regular Holiday,2016-11-30
2016-12-12,Maulid un-Nabi,Common local holiday,2016-12-12
2016-12-21,December Solstice,Season,2016-12-21
2016-12-24,Christmas Eve,Special Non-working Holiday,2016-12-24
2016-12-25,Christmas Day,Regular Holiday,2016-12-25
2016-12-26,Christmas Day observed,Regular Holiday,2016-12-26
2016-12-30,Rizal Day,Regular Holiday,2016-12-30
2016-12-31,New Year's Eve,Special Non-working Holiday,2016-12-31
2017-01-01,New Year's Day,Regular Holiday,2017-01-01
2017-01-02,New Year's Day observed,Regular Holiday,2017-01-02
2017-01-28,Lunar New Year's Day,Special Non-working Holiday,2017-01-28
2017-02-25,People Power Anniversary,Observance,2017-02-25
2017-03-20,March Equinox,Season,2017-03-20
2017-04-09,The Day of Valor,Regular Holiday,2017-04-09
2017-04-13,Maundy Thursday,Regular Holiday,2017-04-13
2017-04-14,Good Friday,Regular Holiday,2017-04-14
2017-04-15,Black Saturday,Special Non-working Holiday,2017-04-15
2017-04-16,Easter Sunday,Observance,2017-04-16
2017-04-24,Lailatul Isra Wal Mi Raj,Common local holiday,2017-04-24
2017-05-01,Labor Day,Regular Holiday,2017-05-01
2017-06-12,Independence Day,Regular Holiday,2017-06-12
2017-06-21,June Solstice,Season,2017-06-21
2017-06-26,Eidul-Fitar,Regular Holiday,2017-06-26
2017-08-21,Ninoy Aquino Day,Special Non-working Holiday,2017-08-21
2017-08-28,National Heroes Day,Regular Holiday,2017-08-28
2017-09-02,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,2017-09-02
2017-09-03,Eid al-Adha Day 2,Common local holiday,2017-09-03
2017-09-22,Amun Jadid,"Muslim, Common local holiday",2017-09-22
2017-09-23,September Equinox,Season,2017-09-23
2017-10-31,Special non-working Day,National holiday,2017-10-31
2017-11-01,All Saints' Day,Special Non-working Holiday,2017-11-01
2017-11-02,All Souls' Day,Observance,2017-11-02
2017-11-30,Bonifacio Day,Regular Holiday,2017-11-30
2017-12-01,Maulid un-Nabi,Common local holiday,2017-12-01
2017-12-08,Feast of the Immaculate Conception,Special Non-working Holiday,2017-12-08
2017-12-22,December Solstice,Season,2017-12-22
2017-12-24,Christmas Eve,Observance,2017-12-24
2017-12-25,Christmas Day,Regular Holiday,2017-12-25
2017-12-30,Rizal Day,Regular Holiday,2017-12-30
2017-12-31,New Year's Eve,Special Non-working Holiday,2017-12-31
2018-01-01,New Year's Day,Regular Holiday,2018-01-01
2018-02-16,Lunar New Year's Day,Special Non-working Holiday,2018-02-16
2018-02-25,People Power Anniversary,Special Non-working Holiday,2018-02-25
2018-03-21,March Equinox,Season,2018-03-21
2018-03-29,Maundy Thursday,Regular Holiday,2018-03-29
2018-03-30,Good Friday,Regular Holiday,2018-03-30
2018-03-31,Black Saturday,Special Non-working Holiday,2018-03-31
2018-03-31,Black Saturday,Special Non-working Holiday,2018-03-31
2018-04-01,Easter Sunday,Observance,2018-04-01
2018-04-09,The Day of Valor,Regular Holiday,2018-04-09
2018-04-13,Lailatul Isra Wal Mi Raj,Common local holiday,2018-04-13
2018-05-01,Labor Day,Regular Holiday,2018-05-01
2018-05-14,Special Non-Working Day,Special Non-working Holiday,2018-05-14
2018-06-12,Independence Day,Regular Holiday,2018-06-12
2018-06-15,Eidul-Fitar,Regular Holiday,2018-06-15
2018-06-21,June Solstice,Season,2018-06-21
2018-08-21,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,2018-08-21
2018-08-21,Ninoy Aquino Day,Special Non-working Holiday,2018-08-21
2018-08-22,Eid al-Adha Day 2,Common local holiday,2018-08-22
2018-08-27,National Heroes Day,Regular Holiday,2018-08-27
2018-09-12,Amun Jadid,"Muslim, Common local holiday",2018-09-12
2018-09-23,September Equinox,Season,2018-09-23
2018-11-01,All Saints' Day,Special Non-working Holiday,2018-11-01
2018-11-02,All Souls' Day,Special Non-working Holiday,2018-11-02
2018-11-02,Additional Special Non-Working Day,Special Non-working Holiday,2018-11-02
2018-11-21,Maulid un-Nabi,Common local holiday,2018-11-21
2018-11-30,Bonifacio Day,Regular Holiday,2018-11-30
2018-12-08,Feast of the Immaculate Conception,Special Non-working Holiday,2018-12-08
2018-12-22,December Solstice,Season,2018-12-22
2018-12-24,Christmas Eve,Special Non-working Holiday,2018-12-24
2018-12-24,Additional Special Non-Working Day,Special Non-working Holiday,2018-12-24
2018-12-25,Christmas Day,Regular Holiday,2018-12-25
2018-12-30,Rizal Day,Regular Holiday,2018-12-30
2018-12-31,New Year's Eve,Special Non-working Holiday,2018-12-31
2019-01-01,New Year's Day,Regular Holiday,2019-01-01
2019-01-23,First Philippine Republic Day,Special Working Day,2019-01-23
2019-02-05,Lunar New Year's Day,Special Non-working Holiday,2019-02-05
2019-02-25,People Power Anniversary,Special Non-working Holiday,2019-02-25
2019-03-21,March Equinox,Season,2019-03-21
2019-04-03,Lailatul Isra Wal Mi Raj,Common local holiday,2019-04-03
2019-04-09,The Day of Valor,Regular Holiday,2019-04-09
2019-04-18,Maundy Thursday,Regular Holiday,2019-04-18
2019-04-19,Good Friday,Regular Holiday,2019-04-19
2019-04-20,Black Saturday,Special Non-working Holiday,2019-04-20
2019-04-20,Black Saturday,Special Non-working Holiday,2019-04-20
2019-04-21,Easter Sunday,Observance,2019-04-21
2019-05-01,Labor Day,Regular Holiday,2019-05-01
2019-05-13,Special Non-Working Day,Special Non-working Holiday,2019-05-13
2019-06-05,Eidul-Fitar,Regular Holiday,2019-06-05
2019-06-12,Independence Day,Regular Holiday,2019-06-12
2019-06-21,June Solstice,Season,2019-06-21
2019-08-12,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,2019-08-12
2019-08-13,Eid al-Adha Day 2,Common local holiday,2019-08-13
2019-08-21,Ninoy Aquino Day,Special Non-working Holiday,2019-08-21
2019-08-26,National Heroes Day,Regular Holiday,2019-08-26
2019-08-31,Amun Jadid,"Muslim, Common local holiday",2019-08-31
2019-09-03,Yamashita Surrender Day,Special Working Day,2019-09-03
2019-09-08,Feast of the Nativity of Mary,Special Working Day,2019-09-08
2019-09-23,September Equinox,Season,2019-09-23
2019-11-01,All Saints' Day,Special Non-working Holiday,2019-11-01
2019-11-02,All Souls' Day,Special Non-working Holiday,2019-11-02
2019-11-02,Additional Special Non-Working Day,Special Non-working Holiday,2019-11-02
2019-11-09,Maulid un-Nabi,Common local holiday,2019-11-09
2019-11-30,Bonifacio Day,Regular Holiday,2019-11-30
2019-12-08,Feast of the Immaculate Conception,Special Non-working Holiday,2019-12-08
2019-12-22,December Solstice,Season,2019-12-22
2019-12-24,Christmas Eve,Special Non-working Holiday,2019-12-24
2019-12-24,Additional Special Non-Working Day,Special Non-working Holiday,2019-12-24
2019-12-25,Christmas Day,Regular Holiday,2019-12-25
2019-12-30,Rizal Day,Regular Holiday,2019-12-30
2019-12-31,New Year's Eve,Special Non-working Holiday,2019-12-31
2020-01-01,New Year's Day,Regular Holiday,2020-01-01
2020-01-23,First Philippine Republic Day,Special Working Day,2020-01-23
2020-01-25,Lunar New Year's Day,Special Non-working Holiday,2020-01-25
2020-02-25,People Power Anniversary,Special Non-working Holiday,2020-02-25
2020-03-20,March Equinox,Season,2020-03-20
2020-03-22,Lailatul Isra Wal Mi Raj,Common local holiday,2020-03-22
2020-04-09,Maundy Thursday,Regular Holiday,2020-04-09
2020-04-09,The Day of Valor,Regular Holiday,2020-04-09
2020-04-10,Good Friday,Regular Holiday,2020-04-10
2020-04-11,Black Saturday,Special Non-working Holiday,2020-04-11
2020-04-11,Black Saturday,Special Non-working Holiday,2020-04-11
2020-04-12,Easter Sunday,Observance,2020-04-12
2020-05-01,Labor Day,Regular Holiday,2020-05-01
2020-05-24,Eidul-Fitar,Observance,2020-05-24
2020-05-25,Eidul-Fitar Holiday,Regular Holiday,2020-05-25
2020-06-12,Independence Day,Regular Holiday,2020-06-12
2020-06-21,June Solstice,Season,2020-06-21
2020-07-31,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,2020-07-31
2020-08-01,Eid al-Adha Day 2,Common local holiday,2020-08-01
2020-08-20,Amun Jadid,"Muslim, Common local holiday",2020-08-20
2020-08-21,Ninoy Aquino Day,Special Non-working Holiday,2020-08-21
2020-08-31,National Heroes Day,Regular Holiday,2020-08-31
2020-09-03,Yamashita Surrender Day,Special Working Day,2020-09-03
2020-09-08,Feast of the Nativity of Mary,Special Working Day,2020-09-08
2020-09-22,September Equinox,Season,2020-09-22
2020-10-29,Maulid un-Nabi,Common local holiday,2020-10-29
2020-11-01,All Saints' Day,Special Non-working Holiday,2020-11-01
2020-11-02,All Souls' Day,Special Non-working Holiday,2020-11-02
2020-11-02,Additional Special Non-Working Day,Special Non-working Holiday,2020-11-02
2020-11-30,Bonifacio Day,Regular Holiday,2020-11-30
2020-12-08,Feast of the Immaculate Conception,Special Non-working Holiday,2020-12-08
2020-12-21,December Solstice,Season,2020-12-21
2020-12-24,Christmas Eve,Special Non-working Holiday,2020-12-24
2020-12-24,Additional Special Non-Working Day,Special Non-working Holiday,2020-12-24
2020-12-25,Christmas Day,Regular Holiday,2020-12-25
2020-12-30,Rizal Day,Regular Holiday,2020-12-30
2020-12-31,New Year's Eve,Special Non-working Holiday,2020-12-31
2021-01-01,New Year's Day,Regular Holiday,2021-01-01
2021-01-23,First Philippine Republic Day,Special Working Day,2021-01-23
2021-02-12,Lunar New Year's Day,Special Non-working Holiday,2021-02-12
2021-02-25,People Power Anniversary,Special Non-working Holiday,2021-02-25
2021-03-11,Lailatul Isra Wal Mi Raj,Common local holiday,2021-03-11
2021-03-20,March Equinox,Season,2021-03-20
2021-04-01,Maundy Thursday,Regular Holiday,2021-04-01
2021-04-02,Good Friday,Regular Holiday,2021-04-02
2021-04-03,Black Saturday,Special Non-working Holiday,2021-04-03
2021-04-04,Easter Sunday,Observance,2021-04-04
2021-04-09,The Day of Valor,Regular Holiday,2021-04-09
2021-05-01,Labor Day,Regular Holiday,2021-05-01
2021-05-13,Eidul-Fitar,Regular Holiday,2021-05-13
2021-06-12,Independence Day,Regular Holiday,2021-06-12
2021-06-21,June Solstice,Season,2021-06-21
2021-07-20,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,2021-07-20
2021-07-21,Eid al-Adha Day 2,Common local holiday,2021-07-21
2021-08-10,Amun Jadid,"Muslim, Common local holiday",2021-08-10
2021-08-21,Ninoy Aquino Day,Special Non-working Holiday,2021-08-21
2021-08-30,National Heroes Day,Regular Holiday,2021-08-30
2021-09-03,Yamashita Surrender Day,Special Working Day,2021-09-03
2021-09-08,Feast of the Nativity of Mary,Special Working Day,2021-09-08
2021-09-23,September Equinox,Season,2021-09-23
2021-10-18,Maulid un-Nabi,Common local holiday,2021-10-18
2021-11-01,All Saints' Day,Special Non-working Holiday,2021-11-01
2021-11-02,All Souls' Day,Special Working Day,2021-11-02
2021-11-30,Bonifacio Day,Regular Holiday,2021-11-30
2021-12-08,Feast of the Immaculate Conception,Special Non-working Holiday,2021-12-08
2021-12-21,December Solstice,Season,2021-12-21
2021-12-24,Christmas Eve,Special Working Day,2021-12-24
2021-12-25,Christmas Day,Regular Holiday,2021-12-25
2021-12-30,Rizal Day,Regular Holiday,2021-12-30
2021-12-31,New Year's Eve,Special Working Day,2021-12-31
2022-01-01,New Year's Day,Regular Holiday,2022-01-01
2022-01-23,First Philippine Republic Day,Special Working Day,2022-01-23
2022-02-01,Lunar New Year's Day,Special Non-working Holiday,2022-02-01
2022-02-25,People Power Anniversary,Special Non-working Holiday,2022-02-25
2022-02-28,Lailatul Isra Wal Mi Raj,Common local holiday,2022-02-28
2022-03-20,March Equinox,Season,2022-03-20
2022-04-09,The Day of Valor,Regular Holiday,2022-04-09
2022-04-14,Maundy Thursday,Regular Holiday,2022-04-14
2022-04-15,Good Friday,Regular Holiday,2022-04-15
2022-04-16,Black Saturday,Special Non-working Holiday,2022-04-16
2022-04-17,Easter Sunday,Observance,2022-04-17
2022-05-01,Labor Day,Regular Holiday,2022-05-01
2022-05-02,Eidul-Fitar,Observance,2022-05-02
2022-05-03,Eidul-Fitar Holiday,Regular Holiday,2022-05-03
2022-05-09,National and Local Election Holiday,Special Non-working Holiday,2022-05-09
2022-06-12,Independence Day,Regular Holiday,2022-06-12
2022-06-21,June Solstice,Season,2022-06-21
2022-07-09,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,2022-07-09
2022-07-10,Eid al-Adha Day 2,Common local holiday,2022-07-10
2022-07-30,Amun Jadid,"Muslim, Common local holiday",2022-07-30
2022-08-21,Ninoy Aquino Day,Special Non-working Holiday,2022-08-21
2022-08-29,National Heroes Day,Regular Holiday,2022-08-29
2022-09-03,Yamashita Surrender Day,Special Working Day,2022-09-03
2022-09-08,Feast of the Nativity of Mary,Special Working Day,2022-09-08
2022-09-23,September Equinox,Season,2022-09-23
2022-10-08,Maulid un-Nabi,Common local holiday,2022-10-08
2022-10-31,Special Family Ties and Domestic Tourism Day,Special Non-working Holiday,2022-10-31
2022-11-01,All Saints' Day,Special Non-working Holiday,2022-11-01
2022-11-02,All Souls' Day,Special Working Day,2022-11-02
2022-11-30,Bonifacio Day,Regular Holiday,2022-11-30
2022-12-08,Feast of the Immaculate Conception,Special Non-working Holiday,2022-12-08
2022-12-22,December Solstice,Season,2022-12-22
2022-12-24,Christmas Eve,Special Working Day,2022-12-24
2022-12-25,Christmas Day,Regular Holiday,2022-12-25
2022-12-26,Special Day after Christmas,Special Non-working Holiday,2022-12-26
2022-12-30,Rizal Day,Regular Holiday,2022-12-30
2022-12-31,New Year's Eve,Special Working Day,2022-12-31
2023-01-01,New Year's Day,Regular Holiday,2023-01-01
2023-01-02,Special non-working day after New Year,Special Non-working Holiday,2023-01-02
2023-01-22,Lunar New Year's Day,Observance,2023-01-22
2023-01-23,First Philippine Republic Day,Special Working Day,2023-01-23
2023-02-18,Lailatul Isra Wal Mi Raj,Common local holiday,2023-02-18
2023-02-24,Day off for People Power Anniversary,Special Non-working Holiday,2023-02-24
2023-02-25,People Power Anniversary,Special Non-working Holiday,2023-02-25
2023-03-21,March Equinox,Season,2023-03-21
2023-03-23,Ramadan Start,Observance,2023-03-23
2023-04-06,Maundy Thursday,Regular Holiday,2023-04-06
2023-04-07,Good Friday,Regular Holiday,2023-04-07
2023-04-08,Black Saturday,Special Non-working Holiday,2023-04-08
2023-04-09,Easter Sunday,Observance,2023-04-09
2023-04-09,The Day of Valor,Observance,2023-04-09
2023-04-10,The Day of Valor,Regular Holiday,2023-04-10
2023-04-21,Eidul-Fitar Holiday,Regular Holiday,2023-04-21
2023-04-22,Eidul-Fitar,Observance,2023-04-22
2023-05-01,Labor Day,Regular Holiday,2023-05-01
2023-06-12,Independence Day,Regular Holiday,2023-06-12
2023-06-21,June Solstice,Season,2023-06-21
2023-06-28,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,2023-06-28
2023-06-29,Eid al-Adha Day 2 (Tentative Date),Common local holiday,2023-06-29
2023-07-19,Amun Jadid,"Muslim, Common local holiday",2023-07-19
2023-08-21,Ninoy Aquino Day,Special Non-working Holiday,2023-08-21
2023-08-28,National Heroes Day,Regular Holiday,2023-08-28
2023-09-03,Yamashita Surrender Day,Special Working Day,2023-09-03
2023-09-08,Feast of the Nativity of Mary,Special Working Day,2023-09-08
2023-09-23,September Equinox,Season,2023-09-23
2023-09-27,Maulid un-Nabi (Tentative Date),Common local holiday,2023-09-27
2023-11-01,All Saints' Day,Special Non-working Holiday,2023-11-01
2023-11-02,All Souls' Day,Special Non-working Holiday,2023-11-02
2023-11-27,Bonifacio Day,Regular Holiday,2023-11-27
2023-11-30,Bonifacio Day,Observance,2023-11-30
2023-12-08,Feast of the Immaculate Conception,Special Non-working Holiday,2023-12-08
2023-12-22,December Solstice,Season,2023-12-22
2023-12-24,Christmas Eve,Observance,2023-12-24
2023-12-25,Christmas Day,Regular Holiday,2023-12-25
2023-12-30,Rizal Day,Regular Holiday,2023-12-30
2023-12-31,New Year's Eve,Special Non-working Holiday,2023-12-31
2024-01-01,New Year's Day,Regular Holiday,2024-01-01
2024-01-23,First Philippine Republic Day,Special Working Day,2024-01-23
2024-02-07,Lailatul Isra Wal Mi Raj (Tentative Date),Common local holiday,2024-02-07
2024-02-10,Lunar New Year's Day,Special Non-working Holiday,2024-02-10
2024-02-25,People Power Anniversary,Special Non-working Holiday,2024-02-25
2024-03-11,Ramadan Start (Tentative Date),Observance,2024-03-11
2024-03-20,March Equinox,Season,2024-03-20
2024-03-28,Maundy Thursday,Regular Holiday,2024-03-28
2024-03-29,Good Friday,Regular Holiday,2024-03-29
2024-03-30,Black Saturday,Special Non-working Holiday,2024-03-30
2024-03-31,Easter Sunday,Observance,2024-03-31
2024-04-09,The Day of Valor,Regular Holiday,2024-04-09
2024-04-10,Eidul-Fitar (Tentative Date),Regular Holiday,2024-04-10
2024-05-01,Labor Day,Regular Holiday,2024-05-01
2024-06-12,Independence Day,Regular Holiday,2024-06-12
2024-06-17,Eid al-Adha (Feast of the Sacrifice) (Tentative Date),Regular Holiday,2024-06-17
2024-06-18,Eid al-Adha Day 2 (Tentative Date),Common local holiday,2024-06-18
2024-06-21,June Solstice,Season,2024-06-21
2024-07-08,Amun Jadid,"Muslim, Common local holiday",2024-07-08
2024-08-21,Ninoy Aquino Day,Special Non-working Holiday,2024-08-21
2024-08-26,National Heroes Day,Regular Holiday,2024-08-26
2024-09-03,Yamashita Surrender Day,Special Working Day,2024-09-03
2024-09-08,Feast of the Nativity of Mary,Special Working Day,2024-09-08
2024-09-16,Maulid un-Nabi (Tentative Date),Common local holiday,2024-09-16
2024-09-22,September Equinox,Season,2024-09-22
2024-11-01,All Saints' Day,Special Non-working Holiday,2024-11-01
2024-11-02,All Souls' Day,Observance,2024-11-02
2024-11-30,Bonifacio Day,Regular Holiday,2024-11-30
2024-12-08,Feast of the Immaculate Conception,Special Non-working Holiday,2024-12-08
2024-12-21,December Solstice,Season,2024-12-21
2024-12-24,Christmas Eve,Observance,2024-12-24
2024-12-25,Christmas Day,Regular Holiday,2024-12-25
2024-12-30,Rizal Day,Regular Holiday,2024-12-30
2024-12-31,New Year's Eve,Special Non-working Holiday,2024-12-31
2025-01-01,New Year's Day,Regular Holiday,2025-01-01
2025-01-23,First Philippine Republic Day,Special Working Day,2025-01-23
2025-01-27,Lailatul Isra Wal Mi Raj (Tentative Date),Common local holiday,2025-01-27
2025-01-29,Lunar New Year's Day,Special Non-working Holiday,2025-01-29
2025-02-25,People Power Anniversary,Special Non-working Holiday,2025-02-25
2025-03-01,Ramadan Start (Tentative Date),Observance,2025-03-01
2025-03-20,March Equinox,Season,2025-03-20
2025-03-31,Eidul-Fitar (Tentative Date),Regular Holiday,2025-03-31
2025-04-09,The Day of Valor,Regular Holiday,2025-04-09
2025-04-17,Maundy Thursday,Regular Holiday,2025-04-17
2025-04-18,Good Friday,Regular Holiday,2025-04-18
2025-04-19,Black Saturday,Special Non-working Holiday,2025-04-19
2025-04-20,Easter Sunday,Observance,2025-04-20
2025-05-01,Labor Day,Regular Holiday,2025-05-01
2025-06-07,Eid al-Adha (Feast of the Sacrifice) (Tentative Date),Regular Holiday,2025-06-07
2025-06-08,Eid al-Adha Day 2 (Tentative Date),Common local holiday,2025-06-08
2025-06-12,Independence Day,Regular Holiday,2025-06-12
2025-06-21,June Solstice,Season,2025-06-21
2025-06-27,Amun Jadid,"Muslim, Common local holiday",2025-06-27
2025-08-21,Ninoy Aquino Day,Special Non-working Holiday,2025-08-21
2025-08-25,National Heroes Day,Regular Holiday,2025-08-25
2025-09-03,Yamashita Surrender Day,Special Working Day,2025-09-03
2025-09-05,Maulid un-Nabi (Tentative Date),Common local holiday,2025-09-05
2025-09-08,Feast of the Nativity of Mary,Special Working Day,2025-09-08
2025-09-23,September Equinox,Season,2025-09-23
2025-11-01,All Saints' Day,Special Non-working Holiday,2025-11-01
2025-11-02,All Souls' Day,Observance,2025-11-02
2025-11-30,Bonifacio Day,Regular Holiday,2025-11-30
2025-12-08,Feast of the Immaculate Conception,Special Non-working Holiday,2025-12-08
2025-12-21,December Solstice,Season,2025-12-21
